,id,popularity,explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
0,7LmdIn4PoBSY7HtVlfYanU,57,True,117065,0.895,0.373,0,-7.875,0,0.308,0.00596,2.88e-05,0.0577,0.0812,138.039,4,"['aesthetic rap', 'dark trap', 'drift phonk', 'nopixel']"
1,0EHKqbbKApJZHPWfdQZIj3,38,True,173400,0.589,0.64,7,-8.373,1,0.0794,0.0501,0.411,0.183,0.253,99.991,4,[]
2,6RNIpf5ZhFKAedNVgx0ssf,39,False,162815,0.694,0.966,0,-2.358,1,0.0554,0.126,0.875,0.121,0.0385,103.008,4,['drift phonk']
3,3pbyf4NXw5PmD4pfsFSBXm,38,False,129442,0.707,0.681,1,-6.62,1,0.0387,0.0348,0.667,0.27,0.491,139.978,4,"['russian drain', 'zxc']"
4,0SeLseVmlLGQBoXCZJmbpk,59,False,181940,0.727,0.748,2,-5.789,1,0.244,0.187,0.0797,0.417,0.583,123.953,4,[]
5,0MEMJNYVMS7TBNgFzV1aVN,58,True,141688,0.73,0.914,6,-6.531,1,0.0638,0.00989,0.0109,0.351,0.446,118.046,4,['drift phonk']
6,3bpR5jv8uzraDgq5YpHwDw,80,True,85894,0.672,0.981,1,-1.252,1,0.181,0.0302,2.36e-05,0.648,0.694,95.014,4,"['dream smp', 'viral rap']"
7,62RfjT9p2pu5QxbuEMSdr2,60,False,84521,0.859,0.526,1,-8.716,1,0.237,0.149,0.0822,0.102,0.629,114.973,4,['drift phonk']
8,52Q9b7ra6aGPgNuVpcoXFk,49,True,152380,0.625,0.82,6,-5.437,0,0.041,0.00387,0.0233,0.174,0.246,125.988,4,['drift phonk']
9,6gyLZ1aoAiQ2lAlIhPvSs3,49,True,140000,0.665,0.788,0,-7.092,1,0.0958,0.0717,0.0,0.395,0.119,127.083,4,['emo rap']
10,7njRlGndom2zCRjVHfO53S,52,True,110000,0.764,0.53,8,-2.976,1,0.154,0.0308,0.0,0.111,0.301,120.016,4,['drift phonk']
11,1wRxUaTCCRH2owrWVqUldz,47,False,138092,0.676,0.728,10,-7.217,0,0.134,0.000502,0.776,0.259,0.185,114.726,4,['drift phonk']
12,0PgTDR0OtNAj5U1dWw1W0t,56,False,205095,0.481,0.647,0,-8.151,0,0.0408,0.000351,0.364,0.116,0.039,75.014,4,[]
13,5NR90euHZrzjEf95oW4tTg,60,True,94326,0.578,0.97,6,-2.307,0,0.0715,0.26,0.854,0.44,0.926,120.154,4,[]
14,1KFHCjtQnSJBXBVno0rqPP,42,False,167794,0.309,0.943,7,-3.696,1,0.156,0.000644,0.000728,0.14,0.41,162.665,3,[]
15,3c9118tRa8GmH5qAKiLUUT,59,True,111245,0.87,0.869,5,-4.284,0,0.142,0.00852,0.14,0.219,0.513,130.021,4,[]
16,6YIV8wUnmdI6XtKgm4qZV4,57,True,141090,0.734,0.743,3,-7.492,1,0.1,0.276,0.0974,0.079,0.0491,164.938,4,['drift phonk']
17,0Nodzj90LPr9l72tmy4Fis,47,True,173754,0.763,0.709,8,-8.405,0,0.0446,0.00058,0.477,0.107,0.299,139.997,4,['drift phonk']
18,4mOFu04Vbub8uXbNq7iZZx,55,True,144000,0.705,0.925,1,-2.507,1,0.0392,0.0369,0.937,0.143,0.475,120.031,4,['drift phonk']
19,4Am1mDdU4S0Mez2ckH3M4L,50,True,127402,0.702,0.78,6,-9.229,1,0.0504,0.395,0.345,0.126,0.387,119.948,4,['aesthetic rap']
20,6xezRuhCxlgA78gkmskAQm,54,False,154434,0.821,0.828,10,-2.511,0,0.0412,0.00869,0.791,0.141,0.0821,115.018,4,"['drift phonk', 'edm', 'filthstep', 'gaming edm']"
21,56LuvMgJz5ipJTCTbqfW7O,53,False,144049,0.554,0.534,9,-4.602,0,0.235,0.0104,0.0221,0.645,0.219,119.943,4,"['dreampunk', 'drift phonk', 'wave']"
22,1ApUtg2zlsXG3WAApHPaIg,51,True,135969,0.338,0.796,1,-10.092,1,0.0748,0.000164,0.00128,0.211,0.428,154.931,4,[]
23,5lnZgZQrhZyiWVnZSSdbCJ,42,True,146562,0.805,0.769,4,-6.842,0,0.114,0.249,9.26e-05,0.188,0.386,100.035,4,"['bounce', 'crunk', 'gangster rap', 'memphis hip hop', 'trap']"
24,2BFZXkzg48kJl8GO9G97Bw,57,True,147750,0.398,0.954,7,-4.072,0,0.303,1.99e-05,0.0,0.103,0.223,137.34,4,['drift phonk']
25,4PveqlRhgkZWEeiwEaQ4XS,62,True,136348,0.783,0.864,11,-4.937,1,0.116,0.00138,0.00457,0.0998,0.801,119.976,4,"['drift phonk', 'hyperpop']"
26,1qcNxlAvs5uNCcG0lmz5aw,57,False,112000,0.682,0.863,1,-4.308,1,0.057,0.161,0.857,0.397,0.186,105.023,4,['drift phonk']
27,6Rky4H51h4E35meaMTfJQF,75,False,110052,0.713,0.95,1,-7.582,1,0.042,0.00262,0.856,0.191,0.643,150.003,4,[]
28,2T4bnr3T8tEHm3MxXLpA8n,52,False,194891,0.897,0.486,7,-2.792,1,0.472,0.178,0.792,0.242,0.2,133.235,4,['drift phonk']
29,6kRxT8sggyNJ6mYoSKTwCh,61,True,135074,0.757,0.814,6,-6.873,1,0.179,0.0304,0.257,0.131,0.741,118.078,4,['dark trap']
30,60todhJq1ScRkVxFvXTuZF,64,True,216083,0.681,0.783,8,-4.997,1,0.18,0.0262,0.0,0.206,0.323,106.901,4,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
31,7xMUvEqBXKrgJyJrx0td5M,41,False,209797,0.511,0.668,4,-5.539,1,0.0315,0.0034,0.0716,0.102,0.0747,82.037,4,"['alt z', 'la indie']"
