,id
0,3pHkh7d0lzM2AldUtz2x37
1,5XeFesFbtLpXzIVDNQP22n
2,3Xzyta15TXF33ggEjA5FxN
3,5bdmWBCaiaHk2HbqKOXLyJ
4,5FWQiTINv3t4tv5Mek9wGE
5,07ar7rYlFwzJhbvQTTuu14
6,1R1ihosU2CSEaSw8e5ZF6E
7,2dgFqt3w9xIQRjhPtwNk3D
8,5hL1l3xsH0ZyKl8yUI6woj
9,0SiywuOBRcynK0uKGWdCnn
10,1dfsPqH09vnzUWEOsN98Ex
11,3N7iMT3k1qja7HL7bfeWY0
12,3TY1PFZXmYeiLcXygB74My
13,3zwMVvkBe2qIKDObWgXw4N
14,7LHAKF7pBqHch8o6Yo0ad5
15,2PBghI9zJkQEWBzMSMo2Ki
16,09cM9BjyNFizKUOXh6j9rT
17,19gjP0BHBkW9aFLQRHyoeC
18,734dz1YaFITwawPpM25fSt
19,7mykoq6R3BArsSpNDjFQTm
20,0BJMgVrnWIvgYsjq8KaPeh
21,4TdKZCiVpRYBxHOwTeoq4P
22,4i3txPQIUV4eC9g9FBpi9I
23,2h8TbHimi3flhCt1v6536W
24,5iHDEI2GIsx3YEa9OXPtRJ
25,2RmGQmFyJetffds9FSRm3c
26,464cJTFfwAzl8tkJy9OSoy
27,5Fj753yCLyWL699hiiCgoJ
28,2abH8STrNnJuYjQBZN0Ggb
29,1oen3GpTcA486fTHaT7neg
30,4jrXcjE0rKXu4svwQ7IYzD
31,6YvqWjhGD8mB5QXcbcUKtx
32,4uUG5RXrOk84mYEfFvj3cK
33,3maqY8XwtNEzFbMZymWLrD
34,0otRX6Z89qKkHkQ9OqJpKt
35,7uAKsykguOnXZSh0WpOW5z
36,0tTotZHPsxyjW3jqNJ1td2
37,2peoFPokM6eYAIwLm9IQ8E
38,5L9eGmPwQnhIlJY1qDQ3OJ
39,63mL1DdcSFfxVJ9XGnSRQz
40,3sOEVB8DirQtZc0qhw8lJc
41,0RDqNCRBGrSegk16Avfzuq
42,4wPPqrwwqFPIc5EOkDb6oo
43,0l7o1qoJ754BKRlH7uBf2q
44,4lsOsGMzO1yCjGVucoWOZ1
45,1MqzIgGsHP4cNjPboevsfq
46,65uoaqX5qcjXZRheAj1qQT
47,6nGeLlakfzlBcFdZXteDq7
48,7DEKa5Z7Cl8s3Y7imb88OM
49,2djW6WBQHBeAfXLw63rMQz
50,4aceMabp5rzZYoKKXsUffr
51,5ErcJsujfGgRXsTTz7FGRm
52,6tJPftHTPAfyqNeQpf3Fpk
53,2WgyOP8Z1D6GQYumCwH4Dk
54,06T10fEzN8ZCcqzQZYA184
55,1jq28NGw6wdtFKx8MBPy6C
56,4aYamw19Hloc6hQlJwWM1y
57,6PUIzlqotEmPuBfjbwYWOB
58,2HZLXBOnaSRhXStMLrq9fD
59,5uFqjHOo3Sh0bVPCKf3DdH
60,3ke6it1vTmHtz2ApcIVUz5
61,5Av4jZOAbtY8STz7KPsNDB
62,2LIh4uzqq9cXMPzzmcToHl
63,2tTmW7RDtMQtBk7m2rYeSw
64,3CIQuyJQZNNyfkHSyBzwvi
65,5ZwlnR8yGofZ0669mEh8Xm
66,5UXJzLFdBn6u9FJTCnoHrH
67,1t8sqIScEIP0B4bQzBuI2P
68,3hWfKBt3n7j1xqIy6LA5ve
69,5PtylAa99f0O4hs9Yx2PSB
70,4hceSKjrkDTO0nMKFcb3sj
71,4OelNEcxPGoCOU29fchcsv
72,6ebkx7Q5tTxrCxKq4GYj0Y
73,2V4hc5gplg7EXlrRUvD4rp
74,4mTsRdFE28MYlrZo8N4Es0
75,75b0in10fBGdg080unhggN
76,5euUuh0LcXyGBepddUYidX
77,3T56drS7FjnZgGcOAHlXzx
78,3JUy6uHdxEGf5cqk7IxDrE
79,388GIamOPzdTrzosK3f8q9
80,1bFY36a62kXGJqNcN5aJkW
81,2d1AiZExnhYoauaSWkB1Fm
82,4f6rhvJnkH35dl2nRzx1FV
83,0gMhshO3tLsQzLFzfJW5Jx
84,41vysMjvWWzN5FJaYZjOZy
85,3gVsVsmcJG2NBKhWCTHB8Q
86,18iv3wDwKkZPUFdwbVJCrf
87,4yx91SkOX4OWjUmhEj4rDl
88,0EPK3XVvgbe8q0KrS7nEiY
89,0BRbI3ZMPXuj9yA7ChDGOW
90,1YV1mdDQny0j3q1x7GZ6H6
91,4o0g3KtUbz0nxSmH93RggE
92,3W5AJtjwTqzYJWhF2iBKAE
93,6nqdgUTiWt4JbABDurkxMI
94,3rxBuyFbUbsfslCAliycO7
95,00qBDRxq3cl7R827g8rbzC
96,4QOhfu7ZdD8PEXRhFjOIT1
97,1CWlthc9rA4NwNeLu6dgP5
98,2wYJ7AszuzxSdb0yOjirKQ
99,1yAZgqemZMdzkxFsETP2Wr
100,5GorCbAP4aL0EJ16frG2hd
101,3QslPNyh3s8UdAtNX3c2Fy
102,3CLSHJv5aUROAN2vfOyCOh
103,0PGAJ37n4O2AslZosr1YGx
104,6qyS9qBy0mEk3qYaH8mPss
105,5Sk39LuvdwuvL84jD01Dum
106,2lCPDg2EWErPYdO3ItPUdH
107,6xGruZOHLs39ZbVccQTuPZ
108,7nthiiDfS9WHNHDMwmAz98
109,5K5t5MIn1ezm9ujYjBFHaB
110,2u6twH8SHtv37ctUqQ4iEX
111,6ukWoX4AHV76JdYVdKRPk8
112,0yJi7eb2SosK5CsSnnqc5o
113,00emjlCv9azBN0fzuuyLqy
114,5SbVAjEbm6YS9qF8m8EYGD
115,5XS0GCCIotaI6XtsYcIKeX
116,2DZZ47VVAOKArdGDApsbnD
117,4zCIxSnVWpGNghERX4uWZF
118,5U7emXCoCl8EOEJUVNbguC
119,04wODYKrbLNe7LTOaOPX3i
120,2zzLRQ78kKfPTx8FJQCdC2
121,5CXCoK5wi0qBD0WQA0yn7n
122,45WEkgFSP5Af8Huepaj4P1
123,0Z2DbHevn9qtSKAWcYB2tM
124,34v3Sm3KEc7DtGPP50jyrl
125,5XmZMfluJQaj0nqszKb5QK
