,id
0,4aYamw19Hloc6hQlJwWM1y
1,2dgFqt3w9xIQRjhPtwNk3D
2,4TdKZCiVpRYBxHOwTeoq4P
3,5iHDEI2GIsx3YEa9OXPtRJ
4,0RDqNCRBGrSegk16Avfzuq
5,3pHkh7d0lzM2AldUtz2x37
6,3TY1PFZXmYeiLcXygB74My
7,7mykoq6R3BArsSpNDjFQTm
8,3zwMVvkBe2qIKDObWgXw4N
9,4uUG5RXrOk84mYEfFvj3cK
10,3sOEVB8DirQtZc0qhw8lJc
11,2RmGQmFyJetffds9FSRm3c
12,09cM9BjyNFizKUOXh6j9rT
13,6qyS9qBy0mEk3qYaH8mPss
14,0l7o1qoJ754BKRlH7uBf2q
15,0BJMgVrnWIvgYsjq8KaPeh
16,4aceMabp5rzZYoKKXsUffr
17,3N7iMT3k1qja7HL7bfeWY0
18,7LHAKF7pBqHch8o6Yo0ad5
19,5Sk39LuvdwuvL84jD01Dum
20,2abH8STrNnJuYjQBZN0Ggb
21,3AsfuEnwyMTHS7mbzcRUdV
22,4o0g3KtUbz0nxSmH93RggE
23,0EPK3XVvgbe8q0KrS7nEiY
24,5FWQiTINv3t4tv5Mek9wGE
25,07ar7rYlFwzJhbvQTTuu14
26,1R1ihosU2CSEaSw8e5ZF6E
27,5L9eGmPwQnhIlJY1qDQ3OJ
28,4jrXcjE0rKXu4svwQ7IYzD
29,5Fj753yCLyWL699hiiCgoJ
30,2h8TbHimi3flhCt1v6536W
31,2peoFPokM6eYAIwLm9IQ8E
32,2YjKcFQ1vYFhQPgsmCOjss
33,3QslPNyh3s8UdAtNX3c2Fy
34,7uAKsykguOnXZSh0WpOW5z
35,0tTotZHPsxyjW3jqNJ1td2
36,3sqrvkNC6IPTIXvvbx9Arw
37,2gYj9lubBorOPIVWsTXugG
38,7vBlnGdfOLzVEqiOQQxeU8
39,2tTmW7RDtMQtBk7m2rYeSw
40,3maqY8XwtNEzFbMZymWLrD
41,63mL1DdcSFfxVJ9XGnSRQz
42,2PBghI9zJkQEWBzMSMo2Ki
43,2djW6WBQHBeAfXLw63rMQz
44,3Nr5xbZHKjkGn2iSor3WHM
45,2HZLXBOnaSRhXStMLrq9fD
46,1j8z4TTjJ1YOdoFEDwJTQa
47,2VdU1ksBKcETBr8BYRHUvB
48,34lfu3S4fIcKZRNXzbdbo7
49,3fsGlKCZocN50V6EZN4k0S
50,4wPPqrwwqFPIc5EOkDb6oo
51,579x3N3nGDTEwpSmvwix0F
52,5bdmWBCaiaHk2HbqKOXLyJ
53,5mnpMkzp3Z2RCCbwIEZCbv
54,6pYNq0ZwpPVazKzsqpf0G8
55,6svBgFCnXYst3N8OJJ1XAB
56,7BMQKWEdSZOZj33Tg2hfGm
57,7eVu7FI02cTicLEgVtUvwF
58,5ErcJsujfGgRXsTTz7FGRm
59,04cMUwER7r2VwqMCj4kYJ9
63,4hceSKjrkDTO0nMKFcb3sj
64,0yJi7eb2SosK5CsSnnqc5o
67,7nthiiDfS9WHNHDMwmAz98
72,6SSC9KZQaxBdyipKRigrFC
73,65UhJ76y8wMOVeN56O5Otu
74,3ke6it1vTmHtz2ApcIVUz5
75,1A3T3npKsrElQTjTEcr3LR
77,3gVsVsmcJG2NBKhWCTHB8Q
78,4mTsRdFE28MYlrZo8N4Es0
80,4RvWPyQ5RL0ao9LPZeSouE
81,3B54sVLJ402zGa6Xm4YGNe
83,4OelNEcxPGoCOU29fchcsv
88,45WEkgFSP5Af8Huepaj4P1
92,34v3Sm3KEc7DtGPP50jyrl
94,296nXCOv97WJNRWzIBQnoj
98,52DFe2mMtwlgDP1zwrc9uk
100,1R0a2iXumgCiFb7HEZ7gUE
101,6PUIzlqotEmPuBfjbwYWOB
103,3CLSHJv5aUROAN2vfOyCOh
104,2wYJ7AszuzxSdb0yOjirKQ
