,id
0,0RDqNCRBGrSegk16Avfzuq
1,308Ir17KlNdlrbVLHWhlLe
2,37ZtpRBkHcaq6hHy0X98zn
3,2qQpFbqqkLOGySgNK8wBXt
4,3zhbXKFjUDw40pTYyCgt1Y
5,2xtP8RNbo2BEMzLX7tK7aq
6,63mL1DdcSFfxVJ9XGnSRQz
7,3Hz3tTQwOdM6XkA0ALB2G9
8,0BTaaKT4RMbs5M73tOHX5Y
9,3sOEVB8DirQtZc0qhw8lJc
10,1R0a2iXumgCiFb7HEZ7gUE
11,3hUxzQpSfdDqwM3ZTFQY0K
12,1p80LdxRV74UKvL8gnD7ky
13,1BxfuPKGuaTgP7aM0Bbdwr
14,1dGr1c8CrMLDpV6mPbImSI
15,5enxwA8aAbwZbf5qCHORXi
16,4R2kfaDFhslZEMJqAFNpdd
17,4y5bvROuBDPr5fuwXbIBZR
18,1Ov37jtRQ2YNAe8HzfczkL
19,22bPsP2jCgbLUvh82U0Z3M
20,2KSUy9yJZbXXfvIIIqQ6we
21,22D72L2NnJJkI5m1g3pXnj
22,1LA1dNwVWQQZwuSQ8TmOry
23,3UcjHVz7rFjEcDK2ZZvGl4
24,5ErcJsujfGgRXsTTz7FGRm
25,4wPPqrwwqFPIc5EOkDb6oo
26,2h8TbHimi3flhCt1v6536W
27,5VwLU7Gs7JGqSgDJpUA70q
28,6V9ks2XCBDKtDBBEGLbA5I
29,0l7o1qoJ754BKRlH7uBf2q
30,2tTmW7RDtMQtBk7m2rYeSw
31,4hceSKjrkDTO0nMKFcb3sj
32,6VAS7m73rDopQe7BdrFMpD
33,1VauUM5CBX7nkLcgafQL2B
34,1b62AO1IzcVr5SOgoguc9o
35,1Crj1zkRMpsEjb9NOR6Zof
36,6KEb17S00Inf0v1qYDgUAj
37,78SeXVRJ7KCqVmOwTiFjnI
38,4F4bzCA8RWoyKQDfeFGolM
39,39yyHtQ4tkjZzd8TfIBKQw
40,2VxeLyX666F8uXCJ0dZF8B
41,0SiywuOBRcynK0uKGWdCnn
42,1c2hJSwcCfoPEw1su83Sw0
43,2rbDhOo9Fh61Bbu23T2qCk
44,2x7MyWybabEz6Y6wvHuwGE
45,5R8dQOPq8haW94K7mgERlO
46,7ju97lgwC2rKQ6wwsf9no9
47,7dZ1Odmx9jWIweQSatnRqo
48,6r2BECwMgEoRb5yLfp0Hca
49,7Hqig8kp32q2Ire3ECQvWM
50,3CYH422oy1cZNoo0GTG1TK
51,2oBMZYteeO8DyXV9gDx6Za
52,5GKwq4sO5ZHKuWaDmdwMQc
53,5HiSc2ZCGn8L3cH3qSwzBT
54,6SpPr7K4YQ2wp8jU6uOTmQ
55,42tFTth2jcF7iSo0RBjfJF
56,7nKQ5WAcjnG48knyLuo8gO
57,74muMkVdMYoR65lhmdzy13
58,4ubg38wkWizzLsQwLuE6rM
59,2gvlPqqngL3BppFCwLXnVc
60,1nmc8ngLcvccw7Lay5v5SP
61,37Ctz6MOHM2thzNIOMo7Z0
62,1fdlTXD7obDyqOpx96BEL9
63,3vPHCKu5UhbGLe9rs8dBGr
64,3L74uwShK0JqEUZ5Y2JoDW
65,39LVjfAJm6Yxb4Md4hyNmy
66,28Jwll1H52Hr4JzQ6vMoul
67,7uvW1F97LfVbOF6bzHs3nO
68,4dIZBPtKfOvo8YuundgcwH
69,5MhBEVh0CClfhUsbKI9Gzk
70,6qyS9qBy0mEk3qYaH8mPss
71,34lfu3S4fIcKZRNXzbdbo7
72,3T56drS7FjnZgGcOAHlXzx
73,3bpR5jv8uzraDgq5YpHwDw
74,4aYamw19Hloc6hQlJwWM1y
75,75M7UJy4KmcP3ng0vICdPN
76,6b2wKkUUBCzHpbxxtJcl2w
77,0HIeI7doCC3xlhlfFxXWMc
78,7KmbiagSkUbepU88x7NWjb
79,1WMuTWPq75xbMdoxcZU8lB
80,07ar7rYlFwzJhbvQTTuu14
81,22vyFWBbPhh9PcfrF15qPW
82,2rlx3WQO9OaJEELLDG1Dlq
83,2oKa8ZZ0xFaEiH9OPn2SXC
84,23UuMEt3OBS25lAM1QRchx
85,6hVeDmk4slrvoyolSVdzXp
86,6zNChDti3ES41QOlEhA5hj
87,2G81xLNrsTCBK48KsiIIUG
88,579x3N3nGDTEwpSmvwix0F
89,3oSKOOj6aZzYtoyhUSig9u
90,2UREu1Y8CO4jXkbvqAtP7g
91,0i8JFpqe9cKwnrcvoNgl1L
92,4CbKVDZkYKdv69I4bCaKUq
93,0nkzd3yNniB767zSDDdLZ3
94,5O9Dz0h08LuBi0aVvDcylh
95,5pRElcsPZrgZXkoON2o5Go
96,2jfk3m8nq5IvB35s2xIs1O
97,6rSuL1ViLO7Aljn2WD09s4
98,2GJ1xx5ZoeIJYbQKLSpoZ3
99,2pYaGdqXBrl8MdvuwgtBb7
100,0tYZo2UhV1lrUez5CA0Iyw
101,3zmrdOtnOogqLllz26WLZ3
102,6k67RdkVjTZj79c1cRz7IQ
103,2Ax4rdLenBhULX7nRbhful
104,0rNLaGUleZ91DXMxmZNq5v
105,3IdPtyJHB1WVPM4eCiCAKM
106,7zC6xvBPnIC92K06pMpstY
107,2UP7KnRSvc4taXbjOoSX0f
108,28xjm4FnnGI4Xnds7VoNSl
109,1V1btvvh0M47BWClDsiCqZ
110,0JJP0IS4w0fJx01EcrfkDe
111,0tyR7Bu9P086aWBFZ4QJoo
112,50DMJJpAeQv4fIpxZvQz2e
113,0aZJGkkXR3DgaFqo5sB8ot
114,4SOtTsuFYYlkOOvXMbroUv
115,2qxXypNXOJZ5qUFdpzJ56n
116,50oS45iNMFp7pKIQRAWIUP
117,371Tb0eNfpjpSqggjcLv8c
118,52BHuLFKoBemaQ1oOPFhFZ
119,2zgYAaDIic9iTLujB3FARq
120,38oTXP25IcZ5VlzQJFQuU2
121,291Yu972gd6bPo2aIBgZDA
122,1WYDaSAGpAqleq0FKu0a3m
123,1kvgnPAMyMI5E0B8XXQcSI
124,5wqFGXrd6gHaDcVMY5DDbd
125,7zCAvDu5shJrVCiyNRTUG4
126,0cm5HNoYEygzyVZetb9yho
127,0R0EnWSJ1bqeWXDdc7Vt7x
128,0Krjv3PrcZtAzRFx33zxZB
129,1iZX2BJNRwWAQcZeU6dnFW
130,7ef4DlsgrMEH11cDZd32M6
131,7rglLriMNBPAyuJOMGwi39
132,5nujrmhLynf4yMoMtj8AQF
133,39LLxExYz6ewLAcYrzQQyP
134,2ekn2ttSfGqwhhate0LSR0
135,3PfIrDoz19wz7qK7tYeu62
136,3JXF3LsUjyDIHjuwhXxdjo
137,2Oycxb8QbPkpHTo8ZrmG0B
138,76cy1WJvNGJTj78UqeA5zr
139,3h8tI65xdfpQyTAy7Grqwa
140,24nK8tW7Pt3Inh2utttuoG
141,0oeVHAgY8Q7Mdce5Quj2G4
142,5Z4aqpT39KpY8gbHoJWdou
143,4BZXVFYCb76Q0Klojq4piV
144,6E7jAJN2e3znSHyPCdQqx8
145,0bDYceyQd1jnJO4sK47YxU
146,1RNnRdT27xNUTdechKtSVT
147,1uYgNXNnBTQnboOwlYBLd1
148,5MaDeMdqsPsZTxNWdEZPVH
149,5WitNasXEIRptoLIQUcXMx
150,0CsUrex3Xgtj8ayUKj5YPL
151,3o1jGwcxZQ8jmNeOyirvTb
152,6NU68pCIE8srz6YbOfBe34
153,3gkNuMdF4BgdEQRr0UuOfl
154,02oFVwTN3KTWpCknDei61T
155,2sQLVIje2zUfTk11wibpzR
156,52DFe2mMtwlgDP1zwrc9uk
157,3h8Pdp6INTGutniRQ8fuY0
158,5QSXF0oNIemiw4hLb0VXDP
159,7ip2pQu1C8dDTCDP1Vo1ca
160,5Odq8ohlgIbQKMZivbWkEo
161,0xzI1KAr0Yd9tv8jlIk3sn
162,5QDLhrAOJJdNAmCTJ8xMyW
163,10SRMwb9EuVS1K9rYsBfHQ
164,46HNZY1i7O6jwTA7Slo2PI
165,69xohKu8C1fsflYAiSNbwM
166,6jjYDGxVJsWS0a5wlVF5vS
167,3XYRV7ZSHqIRDG87DKTtry
168,4a9tbd947vo9K8Vti9JwcI
169,5FVbvttjEvQ8r2BgUcJgNg
170,6IbnUaczZBT34DhaD6S18F
171,4sOX1nhpKwFWPvoMMExi3q
172,4sNwdacKyi2S26WrRtNama
173,2sEk5R8ErGIFxbZ7rX6S2S
174,6lKRMylSZMtA7EqPl0pcdI
175,1R1ihosU2CSEaSw8e5ZF6E
176,4Zcz6saEkOII3PlXd9gN3o
177,5B8N5rPOmTVVGpuBMK2Vby
178,6h7AmUi3ghBeEfsZygAxOd
179,6qXM63MqfsATteIuCVMXvu
180,0cRGA4WwyzoOdnOcui7d1e
181,4fb3uBZCBWijnTANMJdN32
182,7mbGvJnVHPnT8WCR0Nmlgz
183,7FJAAn1ZVQy8u2ZO0n0kO7
184,5aAI5R6Rk6cAoTq7OGtRYw
185,2GWqNLMz3imh4uP8cjbHps
186,031hlFWMO7NkVTdVf5oGYs
187,3wsFuufP93ajDy94S2jhyF
188,5bBM8ZVpBYMrH5WXthoEDK
189,1SPiFZkYUmyHAYSbZCPreE
190,6mIjJONoUMvGPT9Kzrab3L
191,3ejAkJLWQSEJDqDXxK3efB
192,0Vu5tjvXZX3qtzRiezxLi1
193,5XS0GCCIotaI6XtsYcIKeX
194,0sq2QUCf3ykmfYxjCDWcir
195,021L6LlBBtr34BmFRHd9Ic
196,2rvpdbvSio3BsHCOnimivV
197,4bjfCjLU7FnyaqbB7FPLs9
198,0NVDKNljMvGrJBTj7BoU4H
199,4rTXasoYr4RICJeGRk5cnD
200,3rmo8F54jFF8OgYsqTxm5d
